Job Title,Job Link,Prof Area,Company,Location,Work Type,Experience Required,Education Required,Salary Range,Posted On
Комплектовщик,/ru/vacancy/komplektovshchik-komplektovshchik~4761330,Производство,"ТОО ""Хлебобараночный комбинат ""Аксай""","г. Алматы, Ауэзовский район",полный рабочий день,Без опыта работы,общее среднее (с 1 по 11/12 классы),от 169 000 тг.,Опубликовано 21.04.2025
Авиационный диспетчер,/ru/vacancy/dispetcher-dp-brifing-zhezkazgan-aviacionnyi-dispetcher~4761329,Транспорт и логистика,"Карагандинский филиал республиканского государственного предприятия на праве хозяйственного ведения ""Казаэронавигация"" Комитета гражданской авиации Министерства транспорта Республики Казахстан","Область Ұлытау, г.Жезказган",полный рабочий день,Без опыта работы,высшее,от 444 900 тг.,Опубликовано 21.04.2025
Слесарь-ремонтник,/ru/vacancy/slesar-remontnik-4-razryada-slesar-remontnik~4761328,Производство,"ТОО ""Хлебобараночный комбинат ""Аксай""",г. Алматы,полный рабочий день,1 год стажа,техническое и профессиональное,от 210 000 тг.,Опубликовано 21.04.2025
"Главный инженер (в электроснабжении, подачи газа, пара и воздушного кондиционирования)","/ru/vacancy/glavnyi-inzhener-kotelnogo-oborudovaniya-glavnyi-inzhener-(v-elektrosnabzhenii,-podachi-gaza,-para-i-vozdushnogo-kondicionirovaniya)~4761327",Производство,"Товарищество с ограниченной ответственностью ""Qazaq Soda (Казах Сода)""","Жамбылская область, г. Тараз",полный рабочий день,5 лет стажа,высшее,от 85 000 тг.,Опубликовано 21.04.2025
Авиационный диспетчер,/ru/vacancy/dispetcher-dp-brifing-balkhash-aviacionnyi-dispetcher~4761326,Транспорт и логистика,"Карагандинский филиал республиканского государственного предприятия на праве хозяйственного ведения ""Казаэронавигация"" Комитета гражданской авиации Министерства транспорта Республики Казахстан","Карагандинская область, г. Балхаш",полный рабочий день,Без опыта работы,высшее,от 444 900 тг.,Опубликовано 21.04.2025
Инженер в авиации,/ru/vacancy/inzhener-meteorolog-inzhener-v-aviacii~4761324,Транспорт и логистика,"Карагандинский филиал республиканского государственного предприятия на праве хозяйственного ведения ""Казаэронавигация"" Комитета гражданской авиации Министерства транспорта Республики Казахстан","Карагандинская область, г. Балхаш",полный рабочий день,Без опыта работы,высшее,от 444 900 тг.,Опубликовано 21.04.2025
Маляр-штукатур,/ru/vacancy/shtukatur-malyar-5-razryada-malyar-shtukatur~4761323,Строительство и архитектура,"ТОО ""Хлебобараночный комбинат ""Аксай""","г. Алматы, Ауэзовский район",полный рабочий день,1 год стажа,послесреднее,от 260 000 тг.,Опубликовано 21.04.2025
Авиационный диспетчер,"/ru/vacancy/dispetcher,-osushchestvlyayushchii-neposredstvennoe-upravlenie-dvizheniem-vozdushnykh-sudov-dispetcherskogo-punkta-vyshka-sluzhby-ovd-aviacionnyi-dispetcher~4761322",Транспорт и логистика,"Карагандинский филиал республиканского государственного предприятия на праве хозяйственного ведения ""Казаэронавигация"" Комитета гражданской авиации Министерства транспорта Республики Казахстан","Карагандинская область, г. Караганда",посменный,Без опыта работы,высшее,от 502 900 тг.,Опубликовано 21.04.2025
Автослесарь,/ru/vacancy/avtoslesar-avtoslesar~4761320,Транспорт и логистика,"ТОО ""Хлебобараночный комбинат ""Аксай""","г. Алматы, Ауэзовский район",полный рабочий день,1 год стажа,общее среднее (с 1 по 11/12 классы),от 129 000 тг.,Опубликовано 21.04.2025
Водитель-экспедитор,/ru/vacancy/voditel-ekspeditor-voditel-ekspeditor~4761319,Транспорт и логистика,"ТОО ""Хлебобараночный комбинат ""Аксай""","г. Алматы, Ауэзовский район",полный рабочий день,Без опыта работы,послесреднее,от 150 000 до 500 000 тг.,Опубликовано 21.04.2025
Авиационный диспетчер,/ru/vacancy/dispetcher-sredstv-obektivnogo-kontrolya-aviacionnyi-dispetcher~4761318,Транспорт и логистика,"Карагандинский филиал республиканского государственного предприятия на праве хозяйственного ведения ""Казаэронавигация"" Комитета гражданской авиации Министерства транспорта Республики Казахстан","Карагандинская область, Бухар-Жырауский район, с.Уштобе",полный рабочий день,3 года стажа,высшее,от 444 900 тг.,Опубликовано 21.04.2025
Руководитель подразделения (главный комплаенс офицер),/ru/vacancy/komplaens-oficer-rukovoditel-podrazdeleniya-(glavnyi-komplaens-oficer)~4761317,Юриспруденция,"Коммунальное государственное предприятие ""Костанайская областная детская стоматологическая поликлиника"" Управления здравоохранения акимата Костанайской области","Костанайская область, г. Костанай",полный рабочий день,4 года стажа,высшее,от 85 000 тг.,Опубликовано 21.04.2025
Укладчик-упаковщик,/ru/vacancy/ukladchik-upakovshchik~4761316,Профессии без квалификации,"ТОО ""Хлебобараночный комбинат ""Аксай""",г. Алматы,посменный,Без опыта работы,общее среднее (с 1 по 11/12 классы),от 140 000 тг.,Опубликовано 21.04.2025
Инженер-инспектор по безопасности полетов,/ru/vacancy/inspektor-po-aviacionnoi-bezopasnosti-inzhener-inspektor-po-bezopasnosti-poletov~4761314,Транспорт и логистика,"Карагандинский филиал республиканского государственного предприятия на праве хозяйственного ведения ""Казаэронавигация"" Комитета гражданской авиации Министерства транспорта Республики Казахстан","Карагандинская область, Бухар-Жырауский район, с.Уштобе",полный рабочий день,1 год стажа,высшее,от 393 600 тг.,Опубликовано 21.04.2025
